StationID,Longitude,Latitude,City,Cluster
1855A,111.6753,29.0239,,
1856A,111.6794,29.0381,,
1857A,111.7158,29.1456,,
1858A,110.48,29.1389,,
1859A,110.4697,29.1242,,
1860A,110.5594,29.3547,,
1861A,110.4417,29.315,,
1862A,110.4144,25.3167,,
1863A,110.2819,25.2697,,
1864A,110.3089,25.2708,,
1865A,110.2869,25.2178,,
1866A,109.2256,21.5958,,
1867A,109.1436,21.4086,,
1868A,109.0981,21.4661,,
1869A,109.1778,21.5233,,
1870A,109.4883,24.3898,,
1871A,109.4108,24.3304,,
1872A,109.3886,24.3406,,
1873A,109.4221,24.299,,
1874A,109.3957,24.3663,,
1875A,109.4839,24.3158,,
1876A,109.5078,18.2489,,
1877A,109.4964,18.2681,,
1878A,104.7778,31.4747,,
1879A,104.7536,31.4539,,
1880A,104.6717,31.4656,,
1881A,104.7283,31.5072,,
1882A,104.5969,28.8194,,
1883A,104.6225,28.76611,,
1884A,104.6061,28.7867,,
1885A,104.6417,28.76389,,
1886A,104.5761,28.71583,,
1887A,104.6789,28.7989,,
1888A,101.68912,26.57098,,
1889A,101.5769,26.5928,,
1890A,101.7169,26.585,,
1891A,101.7453,26.5017,,
1893A,105.4306,28.9583,,
1894A,105.4436,28.9026,,
1895A,105.4322,28.8558,,
1896A,105.4322,28.8833,,
1897A,104.7547,29.3628,,
1898A,104.7214,29.3586,,
1899A,104.7747,29.3564,,
1900A,104.7692,29.3411,,
1901A,104.4219,31.1208,,
1902A,104.3883,31.1333,,
1903A,104.4053,31.1167,,
1904A,104.3539,31.1108,,
1905A,106.056,30.8064,,
1906A,106.0789,30.8023,,
1907A,106.1031,30.8217,,
1908A,106.1064,30.7856,,
1909A,106.0642,30.7636,,
1910A,106.1087,30.8388,,
1911A,106.9222,27.6869,,
1912A,106.9242,27.7019,,
1913A,106.8906,27.6486,,
1914A,106.9231,27.6506,,
1915A,106.9178,27.72,,
1916A,103.7897,25.5035,,
1917A,103.8,25.5364,,
1918A,108.7197,34.3956,,
1919A,108.6761,34.3181,,
1920A,108.7233,34.3617,,
1921A,108.7369,34.3164,,
1922A,109.0656,35.0994,,
1923A,109.0697,35.0697,,
1924A,108.9344,34.9058,,
1925A,108.9589,34.8731,,
1926A,109.4131,36.6275,,
1927A,109.4761,36.6028,,
1928A,109.4824,36.5767,,
1929A,109.5056,36.6106,,
1930A,107.1586,34.3708,,
1931A,107.0708,34.3017,,
1932A,107.1906,34.3672,,
1933A,107.1431,34.3547,,
1934A,107.1186,34.3739,,
1935A,107.3906,34.3528,,
1936A,107.2058,34.3497,,
1937A,107.2386,34.3622,,
1938A,109.5293,34.5101,,
1939A,109.5049,34.5004,,
1940A,109.4636,34.493,,
1941A,109.4266,34.5021,,
1942A,102.1878,38.5247,,
1943A,102.1725,38.5339,,
1944A,102.1708,38.5061,,
1945A,98.2908,39.7711,,
1946A,,,,
1947A,106.3394,38.817,,
1948A,106.3717,39.0153,,
1949A,106.7704,39.2282,,
